title,price,link,size,bedrooms,parking_spaces,bathrooms
Apto com 2 Quartos e 2 banheiro com 64 m2,290000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-sp-sao-paulo-jardim-seckler-64m2-RS290000/id-28861063/,56,,,
Breve lancamento no bairro da Vila Formosa,1846000,https://www.chavesnamao.com.br/lancamento/breve-lancamento-no-bairro-da-vila-formosa/id-23398809/,142,4.0,1.0,1.0
"Apartamento com 1 dormitorio a venda, 45 m2 por R$ 680.000,00 - Varzea da Barra Funda - Sao Paulo/S",650000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-varzea-da-barra-funda-46m2-RS650000/id-21718549/,45,1.0,1.0,1.0
"Apartamento a venda, 2 quartos, 1 vaga, Vila Parque Jabaquara - Sao Paulo/SP",349000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-parque-jabaquara-47m2-RS349000/id-29391628/,47,2.0,1.0,1.0
Vibra Estacao Freguesia do O - 2Dorm 37 a 41m2 opcao de Sacada e vaga,258900,https://www.chavesnamao.com.br/lancamento/vibra-estacao-freguesia-do-o-2dorm-37-a-41m2-opcao-de-sacada-e-vaga/id-18507838/,34,2.0,1.0,1.0
"Studio - Venda - Sao Paulo, alto da boa vista 30m",400000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-chacara-gaivotas-30m2-RS400000/id-29544156/,30,1.0,1.0,1.0
VILA CAMPESTRE/JABAQUARA,330000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-campestre-RS330000/id-29722542/,56,2.0,1.0,2.0
MORE AO LADO DO SHOP  TATUAPE- APTO DE 1 a 4 DORMITORIOS COM LAZER DE CLUBE E VARANDA GOURMET,550000,https://www.chavesnamao.com.br/lancamento/more-ao-lado-do-shop-tatuape-apto-de-1-a-4-dormitorios-com-lazer-de-clube-e-varanda-gourmet/id-29240655/,52,4.0,1.0,1.0
Sao Paulo - SP | Cobertura Jardim Sao Paulo(zona Norte),1650000,https://www.chavesnamao.com.br/imovel/cobertura-a-venda-3-quartos-com-garagem-sp-sao-paulo-jardim-sao-paulo-zona-norte--RS1650000/id-29266191/,174,3.0,3.0,3.0
"Apartamento a venda por R$1.499.000,00 na Vila Olimpia, Sao Paulo, SP",1499999,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-vila-olimpia-75m2-RS1499999/id-29941368/,75,1.0,2.0,2.0
